"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 23:09:45 BST 2026","Thu May 21 23:09:54 BST 2026","8548","","LoreTest.Playwright.UserCreationTests","","LoreTest.Playwright.UserCreationTests","","CreateUser_WithoutChangingLanguage_ShouldSucceed",""
"passed","Thu May 21 23:09:45 BST 2026","Thu May 21 23:09:49 BST 2026","3988","","LoreTest.Playwright.E2ETests","","LoreTest.Playwright.E2ETests","","HomePage_ShouldLoadSuccessfully",""
